Time:2015/7/27 19:16:57-Trace>>OnEntitySyncQueue execute count:1, success:5/total 6, fail:0 start...


Time:2015/7/27 19:16:58-Trace>>OnEntitySyncQueue execute count:5, success:6/total 11, fail:0 start...


Time:2015/7/27 19:22:01-Trace>>OnEntitySyncQueue execute count:1, success:11/total 12, fail:0 start...


Time:2015/7/27 19:22:37-Trace>>OnEntitySyncQueue execute count:1, success:12/total 13, fail:0 start...


Time:2015/7/27 19:23:54-Trace>>OnEntitySyncQueue execute count:5, success:0/total 5, fail:0 start...


Time:2015/7/27 19:24:15-Trace>>OnEntitySyncQueue execute count:1, success:5/total 6, fail:0 start...


Time:2015/7/27 19:24:16-Trace>>OnEntitySyncQueue execute count:5, success:6/total 11, fail:0 start...


Time:2015/7/27 19:26:16-Trace>>OnEntitySyncQueue execute count:5, success:0/total 5, fail:0 start...


Time:2015/7/27 19:26:24-Trace>>OnEntitySyncQueue execute count:1, success:5/total 6, fail:0 start...


Time:2015/7/27 19:26:31-Trace>>OnEntitySyncQueue execute count:5, success:6/total 11, fail:0 start...


Time:2015/7/27 19:29:52-Trace>>OnEntitySyncQueue execute count:1, success:11/total 12, fail:0 start...


Time:2015/7/27 19:32:34-Trace>>OnEntitySyncQueue execute count:5, success:0/total 5, fail:0 start...


Time:2015/7/27 19:34:30-Trace>>OnEntitySyncQueue execute count:4, success:0/total 4, fail:0 start...


Time:2015/7/27 19:34:42-Trace>>OnEntitySyncQueue execute count:1, success:4/total 5, fail:0 start...


Time:2015/7/27 19:34:47-Trace>>OnEntitySyncQueue execute count:4, success:5/total 9, fail:0 start...


Time:2015/7/27 19:46:23-Trace>>OnEntitySyncQueue execute count:4, success:0/total 4, fail:0 start...


Time:2015/7/27 19:46:45-Trace>>OnEntitySyncQueue execute count:1, success:4/total 5, fail:0 start...


Time:2015/7/27 19:46:46-Trace>>OnEntitySyncQueue execute count:4, success:5/total 9, fail:0 start...


